HEADWORD;DEFINITION;PART OF SPEECH;SEMANTIC GROUP;FREQUENCY RANK
ὀνομάζω, ὀνομάσω, ὠνόμασα, ὠνόμακα, ὠνόμασμαι, ὠνομάσθην;نامیدن، نام بردن;فعل (مختوم به صامت دندانی);گفتن و نوشتن;204
ἀρετή ἀρετῆς, ἡ;تعالی، برتری، دلاوری، رادی;اسم (صرف اول);اخلاق و ارزش‌ها;206
ὑμέτερος ὑμετέρα ὑμέτερον;مال شما، ِ شما (جمع σός);صفت (صرف اول و دوم);ضمیر/ادات پرسش;206
ἔτος ἔτους, τό;سال;اسم (صرف سوم مختوم به σ);زمان;208
ἀντί;ضد، غیر، در مقابل;حرف اضافه;جهت;209
ναῦς νεώς, ἡ;ناو، کشتی;اسم (صرف سوم، بی‌قاعده);کار و فراغت;210
τρίτος –η –ον;سوم;صفت (شمارشی);سنجش و شمارش;211
πνεῦμα πνεύματος, τό;باد، نفس، روح;اسم (صرف سوم مختوم به صامت);زمین;212
ὀρθός –ή –όν;راست، درست، صاف;صفت (صرف اول و دوم);سنجش و شمارش;213
θάλασσα θαλάσσης, ἡ;دریا;اسم (صرف اول);زمین;214
διαφέρω, διοίσω, 1 aor. διήνεγκα, 2 aor. διήνεγκον, διενήνοχα, διενήνεγμαι;تفاوت داشتن، ناهمگون بودن، گستردن;فعل (مختوم به صامت روان);کار و فراغت;215
μέχρι (+gen.);تا، تا آنجا که، تا زمانی که (+اضافی);حرف ربط وابسته‌ساز;زمان;216
δόξα δόξης, ἡ;پندار، گمان، خوشنامی;اسم (صرف اول);اخلاق و ارزش‌ها;217
κεφαλή –ῆς, ἡ;سر;اسم (صرف اول);اجزا بدن;218
πῦρ πυρός, τό;آتش;اسم (صرف سوم مختوم به صامت);نظم جهانی;219
ἐλάσσων ἔλασσον;کوچک‌تر، کمتر، پست‌تر (صفت تفضیلی μικρός);صفت (صرف سوم مختوم به ων و ον);سنجش و شمارش;220
